Package,Total size [MB],Total size [bytes],Visualisation
chromadb,377.6 MB,395898833,###############
mem0ai,251.6 MB,263778659,##########
spacy,208.6 MB,218722921,########
unstructured,182.8 MB,191671510,#######
playwright,109.9 MB,115204702,####
pymupdf,44.8 MB,46927945,##
numpy,37.2 MB,39018237,#
azure-storage-blob,31.1 MB,32644994,#
anthropic,31.1 MB,32635887,#
azure-identity,27.6 MB,28917951,#
authlib,22.8 MB,23902182,#
boto3,20.7 MB,21753618,#
sqlalchemy,18.7 MB,19627175,#
eidolon-ai-client,17.8 MB,18632748,#
openai,15.6 MB,16404682,#
pillow,13.2 MB,13851666,#
python-docx,12.5 MB,13123620,#
eidolon-ai-mistralai,12.3 MB,12877468,
typer,12.1 MB,12668014,
fastapi,11.3 MB,11879774,
eidolon-ai-usage-client,10.5 MB,11045095,
lxml,10.0 MB,10476020,
tiktoken,7.2 MB,7532497,
motor,6.8 MB,7078032,
posthog,4.1 MB,4289979,
aiohttp,4.0 MB,4164577,
sse-starlette,3.8 MB,3943270,
ollama,3.5 MB,3694199,
httpx,3.4 MB,3597024,
pytest-json-report,3.3 MB,3441301,
python-jose,2.7 MB,2796113,
aiodns,2.5 MB,2600992,
jsonschema,2.5 MB,2585540,
opentelemetry-sdk,2.5 MB,2569720,
opentelemetry-instrumentation-fastapi,1.9 MB,1953048,
uvicorn,1.7 MB,1758276,
jinja2,1.2 MB,1288425,
boto3-stubs,1.2 MB,1222248,
opentelemetry-instrumentation-logging,1.0 MB,1079335,
pyyaml,0.9 MB,899565,
dill,0.8 MB,839276,
esprima,0.6 MB,619962,
jsonpath-ng,0.6 MB,615693,
aiosqlite,0.4 MB,448333,
filetype,0.2 MB,189704,
python-multipart,0.2 MB,166316,
python-dotenv,0.1 MB,106499,
jsonref,0.1 MB,62980,
httpx-sse,0.0 MB,27951,
eval-type-backport,0.0 MB,25001,
setuptools,0.0 MB,0,
